FACILITYID,ROAD_NAME,AADT_2009,AADT_2014
1000972484,184 St,4800,6100
1000972556,76 Ave,0,2800
1000972732,Grosvenor Rd,4000,4000
1000976216,100 Ave,7500,9500
1000982296,16 Ave,14200,12500
1000979773,196 St,0,3800
1000979862,Crescent Rd,8300,7600
1000980147,64 Ave,26500,23300
1000980187,60 Ave,10600,9100
1000980242,64 Ave,26500,21900
1000979439,84 Ave,11300,11200
1000979554,64 Ave,21100,17800
1000972852,75A Ave,12700,7400
1000972887,122 St,0,2800
1000981893,156 St,11800,11100
1000984595,King George Blvd,44400,41800
1000977222,152 St,25300,29800
1000979789,60 Ave,4100,5400
1000979597,120 St,32500,28900
1000979624,82 Ave,5500,5400
1000981998,80 Ave,4400,5800
1000982095,168 St,1200,1400
1000982139,104 Ave,32800,28600
1000978353,108 Ave,6800,7500
1000978371,Crescent Rd,10900,14100
1000980748,152 St,19500,16300
1000981148,28 Ave,0,800
1000973615,16 Ave,11400,9100
1000976143,Highway 10 (58 Ave),29900,35000
1000976222,100 Ave,0,2700
1000985424,66 Ave,0,3900
1000985474,68 Ave,7900,8000
1000978802,132 St,14000,12900
1000974644,No 1 Hwy,120000,110000
1000981239,88 Ave,35700,33400
1000981242,152 St,32800,30700
1000984262,100 Ave,0,2700
1000984301,144 St,0,4700
1000984360,76 Ave,2600,5300
1000984380,60 Ave,10600,11600
1000982395,92 Ave,0,6100
1000982614,88 Ave,8700,7000
1000982683,152 St,33000,25800
1000972527,100 Ave,0,2700
1000980777,96 Ave,26900,22000
1000981010,184 St,8500,8100
1000974853,108 Ave,24800,23500
1000972961,32 Ave,0,6100
1000980188,92 Ave,0,5000
1000980208,96 Ave,14900,15000
1000980407,102A Ave,0,7200
1000980522,Country Woods Dr,0,500
1000979151,Highway 15,6400,0
1000973600,Golden Ears Way,14900,0
1000978394,108 Ave,6800,7500
1000975288,140 St,2700,6800
1000982464,Highway 15,6400,0
1000985361,Highway 15,6400,0
1000981714,111 Ave,0,3200
1000981139,80 Ave,4400,5800
1000981367,192 St,3500,3300
1000983990,64 Ave,0,20800
1000983802,King George Blvd,20100,19800
1000975392,111 Ave,0,3200
1000975465,100 Ave,0,2700
1000975502,120 St,31700,33100
1000981853,80 Ave,6200,5500
1000977325,186 St,0,3900
1000977337,128 St,21200,21500
1000984040,84 Ave,4600,3900
1000984058,Martin Dr,0,7700
1000979365,134 St,0,3900
1000979398,Barnston Dr E,0,2100
1000979457,76 Ave,2600,5300
1000972855,104 Ave,22500,9500
1000972916,104 Ave,29000,23600
1000972924,King George Blvd,33800,35500
1000973017,80 Ave,4400,5800
1000975556,124 St,8100,10100
1000975605,128 St,0,7900
1000983696,144 St,0,3700
1000983702,138 St,11800,12200
1000977618,24 Ave,6800,7500
1000977653,84 Ave,12400,12600
1000973164,192 St,0,4100
1000979546,8 Ave,0,5800
1000975335,156 St,0,600
1000975416,16 Ave,13400,13300
1000982620,92 Ave,0,6100
1000983978,184 St,2800,3200
1000984052,80 Ave,17100,21800
1000979629,New Mclellan Rd,2400,2600
1000973552,160 St,19000,19400
1000973589,154 St,8100,7700
1000973659,108 Ave,24800,23500
1000981789,152 St,16100,24900
1000981872,24 Ave,6800,7500
1000975671,King George Blvd,30100,33600
1000980764,92 Ave,0,4300
1000983911,148 St,9800,9100
1000980266,124 St,8800,9100
1000978545,156 St,0,4500
1000978657,Grosvenor Rd,4000,4000
1000979057,120 St,27300,25400
1000985218,92 Ave,0,5000
1000985223,102 Ave,0,8500
1000984810,148 St,6400,5400
1000984928,76 Ave,0,2800
1000977679,192 St,4400,4000
1000973717,144 St,15100,16000
1000973919,24 Ave,12700,20300
1000974119,132 St,14400,13000
1000977491,20 Ave,4500,5000
1000977871,Hansen Rd,9300,10800
1000979682,Marine Dr,0,1800
1000979743,130 St,0,3300
1000979878,124 St,6300,6900
1000979945,124 St,0,2100
1000979834,126 St,0,2800
1000974134,156 St,8000,12700
1000974192,No 1 Hwy,93000,79000
1000973774,154 St,7400,7700
1000973828,Highway 15,10000,10000
1000974024,82 Ave,6000,8800
1000974202,160 St,6400,10200
1000973379,88 Ave,32300,29900
1000973396,60 Ave,12300,11400
1000973443,120 St,27300,25400
1000975717,156 St,7600,9100
1000975665,Highway 10 (56 Ave),26900,35000
1000975925,96 Ave,14900,13200
1000975944,88 Ave,35700,38200
1000981848,100 Ave,15300,17000
1000981953,156 St,10100,10400
1000981968,King George Blvd,36200,33900
1000982400,134 St,0,3000
1000974816,152 St,20000,25000
1000975281,196 St,0,3800
1000980638,148 St,5000,6100
1000980768,76 Ave,2600,7600
1000973578,70 Ave,2700,6800
1000973674,180 St,1800,2400
1000973715,160 St,7100,9600
1000973767,20 Ave,2000,1800
1000982890,Crescent Rd,5900,5700
1000983510,104 Ave,0,8000
1000983976,134 St,0,3900
1000977238,156 St,7600,9100
1000977449,No 1 Hwy,77400,77000
1000977518,160 St,6400,10200
1000975279,64 Ave,28400,26300
1000983170,68 Ave,0,3900
1000979688,192 St,3500,3300
1000982334,24 Ave,14900,24400
1000982441,84 Ave,0,5600
1000983044,92 Ave,0,4300
1000983253,156 St,11800,11100
1000975405,160 St,18700,17600
1000985010,24 Ave,2200,0
1000985018,108 Ave,24800,23500
1000985042,105 Ave,0,4200
1000979745,156 St,13500,12400
1000980105,Harvie Rd,3900,9200
1000977559,124 St,2500,2600
1000978944,168 St,9600,8100
1000979082,124 St,6300,6900
1000979119,192 St,8700,7600
1000979163,140 St,15500,17000
1000979177,King George Blvd,33900,36000
1000979183,156 St,8000,12700
1000979220,68 Ave,3600,3700
1000979241,104 Ave,22500,9500
1000979265,Highway 10 (58 Ave),29900,35000
1000985374,100 Ave,15100,16900
1000985509,184 St,11400,11900
1000985640,20 Ave,2000,1800
1000977652,156 St,9200,9200
1000977932,64 Ave,28200,28000
1000978003,76 Ave,2600,7600
1000975400,124 St,8100,10100
1000975547,104 Ave,0,8000
1000975568,104 Ave,8800,8300
1000975591,132 St,14000,12900
1000975642,King George Blvd,38500,42100
1000977666,84 Ave,0,5600
1000977692,112 Ave,9300,10800
1000974305,160 St,6400,10200
1000974314,144 St,15600,8600
1000974440,140 St,15500,17700
1000974501,134 St,0,3900
1000983448,Colebrook Rd,0,1000
1001580502,King George Blvd,25400,21800
1001580507,60 Ave,4100,5400
1000982405,104 Ave,29000,23600
1000982499,144 St,0,3700
1000982518,Bentley Rd,0,400
1000982561,96 Ave,25800,20400
1000984231,24 Ave,8000,6400
1000984259,152 St,29700,34500
1000975012,58 Ave,0,2800
1000978721,132 St,15800,12000
1000979066,Highway 10 (56 Ave),26900,35000
1000979462,Scott Rd,27300,24500
1000978752,King George Blvd,25400,21800
1000978891,96 Ave,14900,13200
1000978996,64 Ave,30400,26400
1000972920,Old Yale Rd,0,6300
1000980968,82 Ave,5500,5400
1000974820,120 St,23400,29300
1000974892,Highway 15,10000,10000
1000975059,108 Ave,6800,7500
1000974299,Colebrook Rd,0,1000
1000974302,132 St,10600,10300
1000974817,192 St,0,2000
1000979136,Highway 10 (56 Ave),29400,33000
1000979152,168 St,9800,20900
1000979231,64 Ave,28200,30900
1000974341,60 Ave,10700,11300
1000974431,40 Ave,1100,2000
1000974438,154 St,7400,7700
1000981195,Scott Rd,37100,36300
1000976933,96 Ave,14900,13200
1000977050,184 St,4800,5700
1000982911,76 Ave,2600,5300
1000983049,128 St,13000,14900
1000983134,Crescent Rd,8300,7600
1000983267,Harvie Rd,3900,9200
1000983366,102 Ave,0,8500
1000983675,Grosvenor Rd,4000,4000
1000983875,108 Ave,0,4900
1000983920,32 Ave,0,6100
1000977384,126 St,0,2800
1000972995,24 Ave,6800,7500
1000973416,184 St,900,0
1000979212,76 Ave,2600,5300
1000979390,128 St,21200,16800
1000979419,134 St,0,4700
1000978398,144 St,15100,15400
1000984596,80 Ave,4400,2500
1000984652,20 Ave,1200,900
1000979482,98 Ave,0,4900
1000979538,King George Blvd,33900,36000
1000979541,100 Ave,0,4700
1000979623,144 St,0,3700
1000979680,60 Ave,10700,11300
1000979506,Highway 10 (56 Ave),26900,35000
1000975928,Panorama Dr,0,5800
1000979316,68 Ave,3600,3700
1000979475,136 St,0,400
1000979294,96 Ave,14100,12100
1000979389,188 St,3900,4600
1000975089,132 St,15800,21300
1000975501,92 Ave,0,6200
1000975037,Whalley Blvd,0,9900
1000975039,108 Ave,24800,23500
1000975403,University Dr,0,6600
1000979553,104 Ave,0,8000
1000975020,150 St,0,9700
1000975064,32 Ave,20500,21300
1000975110,128 St,17400,27300
1000981753,148 St,5700,10000
1000981808,122 St,0,2800
1000977602,108 Ave,6800,7500
1000975563,64 Ave,21100,17800
1000983763,177B St,0,5400
1000983844,168 St,15200,12500
1000984011,140 St,11400,11500
1000984094,No 1 Hwy,93000,79000
1000984484,Harvie Rd,3900,9200
1000975564,144 St,15600,8600
1000984933,128 St,17400,19400
1000985029,108 Ave,21400,19800
1001131542,Highway 10 (56 Ave),26900,35000
1001132270,168 St,9800,20900
1001132927,24 Ave,14900,13200
1001132945,160 St,7100,9600
1000981800,152 St,29700,34500
1001147714,Whalley Blvd,0,7900
1001561552,Fraser Hwy,27000,30900
1001561559,Fraser Hwy,27000,30900
1001561544,Fraser Hwy,27000,30900
1001561545,Fraser Hwy,27000,30900
1001561546,Fraser Hwy,24400,27900
1001561547,Fraser Hwy,24400,27900
1001561548,Fraser Hwy,28100,26900
1001561549,Fraser Hwy,28100,26900
1001561551,Fraser Hwy,34200,34200
1001077105,144 St,15600,8600
1001187124,138 St,11800,12200
1001188717,104 Ave,0,8000
1001215681,168 St,15200,12500
1000983820,168 St,15200,12500
1000983825,124 St,8800,6600
1000983975,80 Ave,4400,5800
1000984030,102 Ave,0,8500
1000984083,60 Ave,0,4800
1001154670,University Dr,0,4200
1001726444,168 St,3100,3200
1001726445,168 St,3100,3200
1000981986,20 Ave,1200,900
1000982361,104 Ave,32100,28000
1001157592,168 St,9800,20900
1001157794,Green Timbers Way,0,2600
1001561553,Fraser Hwy,27000,30900
1001561554,Fraser Hwy,28100,26900
1001135130,Croydon Dr,0,7100
1001135366,60 Ave,0,4700
1001149410,68 Ave,0,12700
1001151245,192 St,0,4100
1001152391,20 Ave,2000,1800
1001561555,Fraser Hwy,35300,39600
1001561556,Fraser Hwy,34900,42100
1001561557,Fraser Hwy,35300,39600
1001561558,Fraser Hwy,27600,26100
1001561560,Fraser Hwy,35300,39600
1001561561,Fraser Hwy,34200,34200
1001561563,Fraser Hwy,34200,38000
1001194042,16 Ave,12900,10900
1001195910,148 St,5000,6100
1001216551,194 St,0,2600
1001712535,60 Ave,4100,5400
1001713713,192 St,11000,8100
1001715059,60 Ave,12300,11400
1000984588,168 St,9600,8000
1000984746,92 Ave,0,4300
1001173071,Golden Ears Way,14900,13200
1001176434,188 St,3900,4600
1001561752,192 St,11000,8100
1001561753,192 St,11000,8100
1001561754,40 Ave,1100,0
1000983569,192 St,11000,8100
1000980741,University Dr,0,6600
1000977720,88 Ave,25000,22400
1000976122,40 Ave,1400,1700
1000976188,16 Ave,12900,10900
1000976325,124 St,8100,10100
1000976346,King George Blvd,33900,32900
1000976391,124 St,8800,9100
1000978386,108 Ave,0,4900
1000978611,128 St,0,7900
1000978719,72 Ave,20400,14600
1000979215,80 Ave,17100,15300
1000980622,20 Ave,4500,5000
1000980665,168 St,4800,6000
1000980735,164 St,1300,0
1000973931,140 St,8800,7900
1000985286,68 Ave,7900,8000
1000985308,128 St,17400,27300
1000985325,82 Ave,6000,8800
1000973850,164 St,1300,0
1000974103,80 Ave,13200,13400
1000974150,148 St,9800,9100
1000974339,160 St,18700,17600
1000975833,160 St,0,3100
1000976294,No 1 Hwy,120000,110000
1000983780,72 Ave,20400,17800
1000984013,140 St,6600,6300
1000979443,82 Ave,6000,8800
1000979653,142 St,0,2400
1000973398,72 Ave,20400,17800
1000973441,88 Ave,8700,7000
1000973537,123A St,0,1100
1000973793,168 St,9600,8000
1000973900,104 Ave,22500,9500
1000973985,144 St,15100,16000
1000975871,128 St,14300,15400
1000975975,152 St,20000,25300
1000982597,132 St,18000,17200
1000982759,Barnston Dr E,0,2700
1000983003,Crescent Rd,8300,7600
1000980541,72 Ave,31900,29600
1000980562,148 St,0,11300
1000980656,Grosvenor Rd,4000,4000
1000980686,Highway 10 (58 Ave),29900,35000
1000982937,144 St,3900,2500
1000982962,King George Blvd,36200,33900
1000983220,184 St,6600,9100
1000983276,New Mclellan Rd,2400,2600
1000983292,132 St,7900,0
1000985291,8 Ave,0,5800
1000985320,88 Ave,35700,33400
1000985388,60 Ave,4100,5400
1000985490,140 St,12400,13300
1000985563,92 Ave,0,5000
1000978083,104 Ave,6600,5800
1000978243,168 St,9600,8000
1000978458,134 St,0,4700
1000976580,148 St,5700,10000
1000976627,128 St,0,1800
1000976669,88 Ave,13600,12800
1000976678,120 St,34100,32100
1000979415,134 St,0,5000
1000979428,32 Ave,9600,9500
1000979500,University Dr,0,4200
1000979518,188 St,7700,9800
1000980987,134 St,0,2700
1000981152,City Parkway,0,2300
1000981331,156 St,10100,10400
1000981355,32 Ave,14100,16700
1000974747,172 St,1900,3100
1000984245,24 Ave,11600,11800
1000985653,172 St,1900,3100
1000972478,130 St,2400,2500
1000974459,128 St,9100,7700
1000974637,120 St,31700,33100
1000974639,124 St,7000,7500
1000974796,84 Ave,4600,3900
1000976543,104 Ave,31900,28300
1000976699,108 Ave,11200,11000
1000982423,100 Ave,15100,16900
1000982773,128 St,22400,26900
1000984788,King George Blvd,36200,33900
1000984893,156A St,0,1700
1000984948,84 Ave,3400,3900
1000985105,84 Ave,0,5600
1000985139,168 St,4700,2400
1000985267,120 St,36400,33900
1000985404,168 St,3100,3200
1000985456,132 St,10600,10300
1000985488,104 Ave,32800,31500
1000985542,Fraser Hwy,22600,22900
1000982232,76 Ave,14900,17000
1000977919,Marine Dr,0,1800
1000976880,194 St,0,6100
1000977029,32 Ave,0,4000
1000977093,96 Ave,25800,20400
1000977106,168 St,4700,2400
1000977237,Panorama Dr,0,5800
1000980178,84 Ave,9900,8400
1000980278,168 St,5100,5600
1000985600,Highway 10 (56 Ave),29400,33000
1000985608,142 St,0,2000
1000978465,84 Ave,12400,12600
1000978478,Colebrook Rd,6600,1900
1000974531,156 St,7600,9100
1000974600,40 Ave,1100,2000
1000978231,152 St,33000,25800
1000978253,Highway 15,10000,10000
1000978378,104 Ave,29000,24900
1000972481,84 Ave,12400,12600
1000973602,Barnston Dr E,0,2100
1000973616,180 St,1800,2400
1000973773,184 St,4800,5000
1000973939,Highway 10 (58 Ave),29900,35000
1000974036,140 St,15500,17000
1000974075,104 Ave,32100,28000
1000974145,152 St,16100,24900
1000974133,34 Ave,0,1000
1000974709,122 St,0,2800
1000983321,16 Ave,11400,9100
1000983378,152 St,20000,25300
1000974175,104 Ave,22500,11600
1000974259,King George Blvd,44400,41800
1000972515,192 St,0,4100
1000972761,104 Ave,32800,28600
1000972792,32 Ave,9600,9500
1000982836,68 Ave,7900,9200
1000978651,Nordel Way,38600,36000
1000978903,108 Ave,24800,23500
1000977462,Colebrook Rd,6600,1900
1000977643,16 Ave,12900,12500
1000977802,148 St,5000,6100
1000983936,Colebrook Rd,6600,6200
1000979170,160 St,6300,6200
1000972845,104 Ave,29000,23600
1000972797,72 Ave,32200,30000
1000983836,Highway 10 (56 Ave),0,35000
1000975346,100 Ave,0,2700
1000985143,Highway 10,29900,35000
1000973827,No 99 Hwy,8800,15000
1000983486,Barnston Dr E,0,2700
1000983912,100 Ave,15100,16900
1000984025,16 Ave,13400,11300
1000973426,32 Ave,14100,12200
1000973822,Highway 10 (56 Ave),26900,35000
1000973824,196 St,0,4000
1000977756,180 St,3700,4100
1000983464,132 St,10500,10800
1000976231,144 St,0,4000
1000976307,24 Ave,6800,7500
1000976516,128 St,13000,14900
1000976527,76 Ave,12700,2800
1000972709,120 St,36400,38400
2000048365,192 St,8700,7600
2000048367,Fraser Hwy,24400,27900
1000985585,104 Ave,0,8000
1000979456,92 Ave,0,4300
1000979635,100 Ave,15100,16900
1000979693,152 St,39500,34000
1000979900,No 99 Hwy,22800,62000
1000972763,128 St,14300,15400
1000972953,96 Ave,0,10800
1000973085,138 St,11800,12400
1000975939,144 St,12400,15500
1000974088,164 St,1300,0
1000982194,104 Ave,22500,11600
1000982265,96 Ave,19500,18900
1000978236,184 St,4800,6100
1000984825,156 St,11800,11100
1000980945,28 Ave,0,800
1000981134,184 St,6600,9100
1000981150,168 St,15200,12500
1000981210,76 Ave,14900,14400
1000981281,88 Ave,8700,7000
1000974210,188 St,7700,9800
1000978540,120 St,27300,25400
1000978804,King George Blvd,33900,32900
1000978857,152 St,29700,33400
1000976567,96 Ave,26900,23700
1000977884,132 St,7900,0
1000978193,16 Ave,13400,11300
1000983799,120 St,27300,24500
1000983858,112 Ave,9300,10800
1000983892,123A St,0,1100
1000984114,126 St,0,4000
1000984194,24 Ave,14900,13200
1000979912,160 St,6300,6200
1000976715,128 St,9300,8400
1000976773,88 Ave,38600,35000
1000976815,192 St,14600,15200
1000978349,64 Ave,23400,24800
1000974552,154 St,8100,7700
1000974579,84 Ave,12400,12600
1000980426,64 Ave,28400,26100
1000980523,72 Ave,29600,37400
1000973526,60 Ave,10600,11600
1000983367,80 Ave,17100,15300
1000983391,Colebrook Rd,6600,6200
1000976458,72 Ave,0,5300
1000976640,132 St,14400,13000
1000976805,88 Ave,25000,22400
1000982741,68 Ave,7900,9200
1000982781,Old Yale Rd,0,5300
1000982830,132 St,18000,17200
1000982859,80 Ave,4400,2500
1000981631,144 St,3900,2500
1000981642,140 St,17300,17200
1000974977,16 Ave,14200,12500
1000979206,68 Ave,0,6600
1000979332,126 St,0,4000
1000982307,156 St,0,11000
1000978368,28 Ave,0,800
1000978423,60 Ave,0,2400
1000978770,104 Ave,0,8000
1000977132,152 St,20000,25300
1000973458,Scott Rd,33600,28900
1000982850,154 St,0,6100
1000985441,156A St,0,1700
1000985568,132 St,10600,10300
1000983622,148 St,0,11300
1000981677,156 St,8000,12700
1000974896,88 Ave,38600,35000
1000974955,156 St,13500,12400
1000975045,168 St,9600,8100
1000981508,Whalley Blvd,0,7900
1000981646,24 Ave,6800,7500
1000981708,152 St,25300,29800
1000983901,148 St,11200,10300
1000983953,188 St,0,6500
1000984158,152 St,25300,29800
1000979297,Country Woods Dr,0,500
1000979363,168 St,3100,3200
1000981644,128 St,9100,7700
1000981683,154 St,8100,7700
1000981844,20 Ave,5600,6300
1000981906,76 Ave,2600,5300
1000981951,No 1 Hwy,93000,79000
1000984264,76 Ave,2600,5300
1000977340,132 St,10600,10300
1000979454,Highway 15,11500,14000
1000979489,154 St,0,6100
1000978275,154 St,10300,12200
1000980101,108 Ave,0,4900
1000980110,64 Ave,0,20800
1000980239,Fraser Hwy,19500,28000
1000980288,160 St,6400,0
1000980291,68 Ave,3600,2500
1000973410,132 St,16200,15300
1000973672,96 Ave,26900,22000
1000973792,108 Ave,6000,6900
1000975710,140 St,18000,18700
1000975751,96 Ave,14900,15000
1000975756,168 St,4700,2400
1000972706,104 Ave,32800,28600
1000973492,No 1 Hwy,93000,79000
1000973533,96 Ave,14100,12100
1000973574,126 St,0,4000
1000975685,King George Blvd,47100,55700
1000975744,142 St,0,2400
1000975761,148 St,5700,10000
1000983101,60 Ave,0,4700
1000983505,128 St,6300,7100
1000983590,168 St,15200,12500
1000981904,126 St,0,4000
1001156798,28 Ave,0,1600
1000981387,68 Ave,7900,8000
1000979740,King George Blvd,20100,19800
1000979928,88 Ave,25000,22400
1000980205,76 Ave,12700,2800
1000980275,192 St,9400,9800
1000975593,104 Ave,31900,24600
1000975667,108 Ave,33800,23200
1000982063,Crescent Rd,5900,5700
1000982353,152 St,33000,25800
1000982433,144 St,15100,15400
1000980171,168 St,9800,20900
1000980405,20 Ave,8400,7200
1001756109,Fraser Hwy,22600,14300
1000982163,24 Ave,6800,7500
1000984888,172 St,1900,3100
